nodes,throughput,power
0,0.0,0.0
1,1757.8908686976195,54.77962427087617
2,3496.3996474651103,109.80497076152103
3,5104.3944617012185,161.22449885915682
4,6661.952186308102,217.60732958554
5,8073.214680924454,273.1548352612487
6,9447.749384138653,331.2253152799572
7,10747.782862749653,390.73159215346425

