nodes,throughput,power
0,0.0,0.0
1,16130.263301548106,51.98662779725372
2,26084.902766614217,104.8738026807935
3,34977.82018587672,154.72681313525464
4,41228.85476314777,207.53221233212847
5,47430.986825779524,259.09560823722086
6,52196.29225924978,311.5850399494926
7,56212.42180881337,366.3482810890281
